review_date,card_id,button,interval_days,time_seconds,card_type
"2026-01-22 18:21:39",1753394234105,hard,-330,5.165,learning
"2026-01-22 18:21:44",1769105044013,easy,9,4.686,learning
"2026-01-22 18:21:48",1753394234105,easy,2,3.529,learning
"2026-01-24 23:40:26",1753394234105,easy,14,4.0,review
"2026-01-28 07:38:02",1769519888644,hard,-330,6.0,learning
"2026-01-28 07:38:14",1769519932919,hard,-330,12.0,learning
"2026-01-28 07:38:20",1769519888644,easy,2,6.0,learning
"2026-01-28 07:38:27",1769519932919,easy,2,7.0,learning
"2026-01-28 07:38:43",1769519839871,good,-600,11.0,learning
"2026-01-28 07:38:48",1769520093120,easy,8,5.0,learning
"2026-01-28 07:38:54",1769519839871,easy,5,6.0,learning
"2026-01-30 16:16:01",1769519888644,hard,5,6.0,review
"2026-01-30 16:16:10",1769519932919,hard,7,9.0,review
"2026-02-01 08:01:50",1769105044013,easy,81,5.0,review
"2026-02-01 08:01:59",1769098560263,hard,32,9.0,review
"2026-02-02 20:37:28",1769519839871,easy,42,4.0,review
"2026-02-04 09:53:06",1769519888644,hard,13,6.858,review
"2026-02-05 11:26:26",1770244270750,easy,6,5.0,learning
"2026-02-05 11:26:45",1769520093120,hard,27,6.0,review
"2026-02-05 17:55:12",1770313719873,good,-600,5.188,learning
"2026-02-05 17:55:13",1770313743992,good,-600,1.654,learning
"2026-02-05 17:55:18",1770313719873,easy,3,4.831,learning
"2026-02-05 17:55:22",1770313743992,easy,4,3.563,learning
"2026-02-06 13:15:39",1769519932919,again,-600,7.158,review
"2026-02-07 11:45:01",1753394234105,hard,44,5.05,review
"2026-02-07 11:45:19",1769519932919,good,2,13.426,relearn
"2026-02-08 08:48:19",1770313719873,hard,10,6.066,review
"2026-02-09 07:44:53",1769519932919,easy,10,8.0,review
"2026-02-09 07:45:04",1770313743992,good,20,8.0,review
"2026-02-14 18:24:06",1771092732445,good,-600,17.146,learning
"2026-02-14 18:24:13",1771092924131,good,-600,6.178,learning
"2026-02-14 18:24:17",1771093041905,easy,9,4.726,learning
"2026-02-14 18:24:30",1771092924131,easy,3,8.019,learning
"2026-02-14 18:24:42",1771092732445,good,2,11.791,learning
