Date,Content
2026-02-18 10:31,"I think APUs will gradually become standard on desktops"
2026-02-16 14:12,"mistral models are slept on"
2026-02-09 11:22,"AI memory seems useful but it should have some sort of memory expiry based on context"
2026-02-08 12:47,"I have to get off twitter, nothing but bots and slop"
2026-02-07 18:07,"ping :)"
2026-02-07 17:58,"workflow is wofi via keybinding>csv>blog"
2026-02-07 17:55,"setup a quick capture for smaller thoughts"
